Date,2x LETF Change,3x LETF Change
2024-03-05,-2.04678,-3.08787
2024-03-04,-0.25376,-0.39101
2024-03-01,1.64436,2.38827
2024-02-29,0.96347,1.51753
2024-02-28,-0.32436,-0.50669
2024-02-27,0.3319,0.48175
2024-02-26,-0.77362,-1.17053
2024-02-23,0.07328,0.08078
2024-02-22,4.15781,6.23585
2024-02-21,0.22752,0.35266
2024-02-20,-1.20176,-1.83165
2024-02-16,-0.95855,-1.43039
2024-02-15,1.16033,1.66757
2024-02-14,1.91101,2.88942
2024-02-13,-2.73968,-4.10716
2024-02-12,-0.19002,-0.31789
2024-02-09,1.14584,1.71237
2024-02-08,0.07485,0.1018
2024-02-07,1.63536,2.44007
2024-02-06,0.47169,0.67022
2024-02-05,-0.67619,-0.99712
2024-02-02,2.12357,3.18311
2024-02-01,2.46564,3.64988
2024-01-31,-3.24344,-4.85976
2024-01-30,-0.13512,-0.19435
2024-01-29,1.50827,2.23616
2024-01-26,-0.17434,-0.23667
2024-01-25,1.01229,1.48552
2024-01-24,0.15366,0.20871
2024-01-23,0.56841,0.84718
2024-01-22,0.4159,0.6209
2024-01-19,2.46219,3.67872
2024-01-18,1.71758,2.5572
2024-01-17,-1.13697,-1.71464
2024-01-16,-0.76618,-1.15473
2024-01-12,0.14461,0.21816
2024-01-11,-0.19551,-0.33515
2024-01-10,1.11798,1.67062
2024-01-09,-0.29566,-0.43907
2024-01-08,2.80891,4.20276
2024-01-05,0.3319,0.51234
2024-01-04,-0.71522,-1.10059
2024-01-03,-1.62308,-2.43315
2024-01-02,-1.15955,-1.74096
2023-12-29,-0.56853,-0.85911
2023-12-28,0.01331,-0.00163
2023-12-27,0.29565,0.41531
2023-12-26,0.82154,1.22898
2023-12-22,0.33291,0.4683
2023-12-21,1.95225,2.95048
2023-12-20,-3.083,-4.61333
2023-12-19,1.17404,1.74638
2023-12-18,0.93018,1.32864
2023-12-15,-0.08527,-0.0476
2023-12-14,0.53071,0.75939
2023-12-13,2.71922,4.06508
2023-12-12,0.90252,1.35358
2023-12-11,0.76586,1.14123
2023-12-08,0.81316,1.20245
2023-12-07,1.54721,2.33292
2023-12-06,-0.8021,-1.20027
2023-12-05,-0.10965,-0.19191
2023-12-04,-1.09864,-1.66051
2023-12-01,1.16884,1.75344
2023-11-30,0.7565,1.12185
2023-11-29,-0.17056,-0.26674
2023-11-28,0.17405,0.25639
2023-11-27,-0.40243,-0.61738
2023-11-24,0.10218,0.14831
2023-11-22,0.75692,1.12588
2023-11-21,-0.44508,-0.67141
2023-11-20,1.48378,2.20994
2023-11-17,0.24083,0.35662
2023-11-16,0.21943,0.31986
2023-11-15,0.34877,0.49897
2023-11-14,3.84438,5.75305
2023-11-13,-0.1869,-0.27593
2023-11-10,3.13388,4.69863
2023-11-09,-1.6361,-2.47728
2023-11-08,0.18089,0.27858
2023-11-07,0.55113,0.8208
2023-11-06,0.35318,0.50027
2023-11-03,1.86341,2.79858
2023-11-02,3.73512,5.56934
2023-11-01,2.08929,3.11659
2023-10-31,1.2802,1.9242
2023-10-30,2.38814,3.58442
2023-10-27,-0.96073,-1.46759
2023-10-26,-2.43056,-3.65769
2023-10-25,-2.88616,-4.33689
2023-10-24,1.44239,2.14767
2023-10-23,-0.36041,-0.54477
2023-10-20,-2.51961,-3.80101
2023-10-19,-1.7506,-2.6293
2023-10-18,-2.69604,-4.05599
2023-10-17,-0.03522,-0.06269
2023-10-16,2.09661,3.14448
2023-10-13,-1.01756,-1.5403
2023-10-12,-1.28751,-1.95109
2023-10-11,0.84121,1.26536
2023-10-10,1.02439,1.53154
2023-10-09,1.25713,1.88348
2023-10-06,2.37612,3.55871
2023-10-05,-0.2827,-0.47792
2023-10-04,1.58335,2.39381
2023-10-03,-2.74754,-4.13673
2023-10-02,-0.01855,-0.01775
2023-09-29,-0.54759,-0.83739
2023-09-28,1.14238,1.69982
2023-09-27,0.03111,0.03434
2023-09-26,-2.95327,-4.43654
2023-09-25,0.78683,1.17182
2023-09-22,-0.47306,-0.72166
2023-09-21,-3.33476,-5.01857
2023-09-20,-1.88193,-2.95397
2023-09-19,-0.44926,-0.68349
2023-09-18,0.1213,0.17944
2023-09-15,-2.4398,-3.67227
2023-09-14,1.68435,2.50656
2023-09-13,0.22759,0.33652
2023-09-12,-1.14638,-1.73392
2023-09-11,1.31789,1.97417
2023-09-08,0.28283,0.41373
2023-09-07,-0.67135,-1.02943
2023-09-06,-1.39927,-2.11704
2023-09-05,-0.85887,-1.28942
2023-09-01,0.35429,0.5179
2023-08-31,-0.34985,-0.55167
2023-08-30,0.78371,1.16301
2023-08-29,2.88772,4.32486
2023-08-28,1.23514,1.84367
2023-08-25,1.35301,2.01093
2023-08-24,-2.75102,-4.13541
2023-08-23,2.19576,3.28268
2023-08-22,-0.57128,-0.8661
2023-08-21,1.34857,2.02968
2023-08-18,-0.02348,-0.06232
2023-08-17,-1.56259,-2.36279
2023-08-16,-1.49816,-2.25709
2023-08-15,-2.30423,-3.45588
2023-08-14,1.13192,1.70288
2023-08-11,-0.19506,-0.31428
2023-08-10,0.02023,0.00738
2023-08-09,-1.40513,-2.12386
2023-08-08,-0.86348,-1.29909
2023-08-07,1.77883,2.6735
2023-08-04,-1.04317,-1.60029
2023-08-03,-0.56788,-0.85971
2023-08-02,-2.78637,-4.1855
2023-08-01,-0.55322,-0.8295
2023-07-31,0.28929,0.4111
2023-07-28,1.96881,2.95139
2023-07-27,-1.33071,-2.00708
2023-07-26,-0.03895,-0.07637
2023-07-25,0.54591,0.81481
2023-07-24,0.7982,1.17642
2023-07-21,0.03899,0.05991
2023-07-20,-1.38301,-2.09657
2023-07-19,0.45131,0.6758
2023-07-18,1.41525,2.10393
2023-07-17,0.74065,1.11735
2023-07-14,-0.20928,-0.3353
2023-07-13,1.64577,2.47089
2023-07-12,1.48387,2.19768
2023-07-11,1.32471,1.99273
2023-07-10,0.46256,0.68467
2023-07-07,-0.55378,-0.84573
2023-07-06,-1.62115,-2.45236
2023-07-05,-0.38034,-0.58983
2023-07-03,0.21998,0.32486
2023-06-30,2.41606,3.62362
2023-06-29,0.84899,1.27609
2023-06-28,-0.07024,-0.13918
2023-06-27,2.261,3.40057
2023-06-26,-0.90698,-1.37812
2023-06-23,-1.54474,-2.32896
2023-06-22,0.70178,1.03941
2023-06-21,-1.05235,-1.9008
2023-06-20,-0.97936,-1.45806
2023-06-16,-0.74108,-1.1309
2023-06-15,2.40012,3.5736
2023-06-14,0.19489,0.28008
2023-06-13,1.36865,2.05741
2023-06-12,1.8384,2.75736
2023-06-09,0.23146,0.3188
2023-06-08,1.20099,1.79061
2023-06-07,-0.76809,-1.16958
2023-06-06,0.45661,0.6825
2023-06-05,-0.41663,-0.63494
2023-06-02,2.89782,4.34302
2023-06-01,1.94121,2.90958
2023-05-31,-1.1901,-1.80492
2023-05-30,0.00077,-0.01257
2023-05-26,2.60538,3.90228
2023-05-25,1.6826,2.50138
2023-05-24,-1.4822,-2.22684
2023-05-23,-2.25582,-3.39202
2023-05-22,0.0335,0.04066
